match_id,season_id,raid_sequence_no,half,clock,clock_seconds_remaining,raiding_team_id,defending_team_id,raider_id,raider_name,is_do_or_die,outcome_category,raid_points,raid_touch_points,raid_bonus_points,defending_points,is_super_raid,is_super_tackle,primary_defender_id,primary_defender_name,team1_score_after,team2_score_after,event_text
10,1,1,1,0:23,1223,4,2,75,Nitin Madane,False,EMPTY_RAID,0,0,0,0,False,False,,,0,0,Nitin Madane Empty Raid
10,1,2,1,0:48,1248,2,4,118,Surjeet Narwal,False,EMPTY_RAID,0,0,0,0,False,False,,,0,0,Surjeet Narwal Empty Raid
10,1,3,1,1:17,1277,4,2,66,Mahesh Goud,False,EMPTY_RAID,0,0,0,0,False,False,,,0,0,Mahesh Goud Empty Raid
10,1,4,1,1:43,1303,2,4,58,Kashiling Adake,False,SUCCESSFUL_RAID,1,0,0,0,False,False,73.0,Nilesh Shinde,0,1,Kashiling Adake Successful Raid
10,1,5,1,2:10,1330,4,2,75,Nitin Madane,False,UNSUCCESSFUL_RAID,0,0,0,1,False,False,51.0,Jasmer Singh Gulia,0,2,Nitin Madane Unsuccessful Raid
10,1,6,1,2:28,1348,2,4,118,Surjeet Narwal,False,SUCCESSFUL_RAID,1,0,0,0,False,False,,,0,3,Surjeet Narwal Successful Raid
10,1,7,1,2:56,1376,4,2,12,Jang Kun Lee,False,SUCCESSFUL_RAID,1,0,0,0,False,False,4.0,Ehsan Zamani Fard,1,3,Jang Kun Lee Successful Raid
10,1,8,1,3:34,1414,2,4,58,Kashiling Adake,False,SUCCESSFUL_RAID,1,0,0,0,False,False,108.0,Shyam Kumar Sah,1,4,Kashiling Adake Successful Raid
10,1,9,1,4:8,1448,4,2,66,Mahesh Goud,False,SUCCESSFUL_RAID,2,0,0,0,False,False,107.0,Shrikant Tewthia,3,4,Mahesh Goud Successful Raid
10,1,9,1,4:8,1448,4,2,66,Mahesh Goud,False,SUCCESSFUL_RAID,2,0,0,0,False,False,80.0,Punit Kumar Teotia,3,4,Mahesh Goud Successful Raid
10,1,11,1,4:27,1467,2,4,58,Kashiling Adake,False,SUCCESSFUL_RAID,1,0,0,0,False,False,73.0,Nilesh Shinde,3,5,Kashiling Adake Successful Raid
10,1,12,1,4:45,1485,4,2,75,Nitin Madane,False,SUCCESSFUL_RAID,1,0,0,0,False,False,,,4,5,Nitin Madane Successful Raid
10,1,13,1,5:21,1521,2,4,58,Kashiling Adake,False,SUCCESSFUL_RAID,1,0,0,0,False,False,77.0,Parveen Kumar,4,6,Kashiling Adake Successful Raid
10,1,14,1,5:47,1547,4,2,75,Nitin Madane,False,EMPTY_RAID,0,0,0,0,False,False,,,4,6,Nitin Madane Empty Raid
10,1,15,1,6:18,1578,2,4,118,Surjeet Narwal,False,SUCCESSFUL_RAID,1,0,0,0,False,False,75.0,Nitin Madane,4,7,Surjeet Narwal Successful Raid
10,1,16,1,6:53,1613,4,2,66,Mahesh Goud,False,SUCCESSFUL_RAID,2,0,0,0,False,False,51.0,Jasmer Singh Gulia,6,7,Mahesh Goud Successful Raid
